"medcodeid"	"Observations"	"OriginalReadCode"	"CleansedReadCode"	"term"	"SnomedCTConceptId"	"SnomedCTDescriptionId"	"EmisCodeCategoryId"
"852411000006113"	10550	"EMISQTH4"	NA	"thinking about reducing alcohol"	"852411000006109"	"852411000006113"	17
"854651000006117"	19561	"EGTON59"	NA	"alcohol overdose"	"854651000006101"	"854651000006117"	32
"882221000006114"	183	"E01y-99"	"E01y.99"	"other alcoholic psychoses"	"623961000000108"	"882221000006114"	32
"882531000006110"	5596	"E250-99"	"E250.99"	"non-dependent abuse of alcohol"	"268645007"	"882531000006110"	32
"886501000006115"	2502	"J613-99"	"J613.99"	"alcoholic liver damage nos"	"589511000000102"	"886501000006115"	32
"899411000006110"	787	"SM0-99"	"SM0..99"	"toxic effects of alcohol"	"67426006"	"899411000006110"	32
"899421000006119"	43	"SM00-99"	"SM00.99"	"ethyl alcohol - toxic effect"	"82782008"	"899421000006119"	32
"899431000006116"	102	"SM0z-99"	"SM0z.99"	"alcohol nos - toxic effect"	"592581000000100"	"899431000006116"	32
"940781000006116"	1467	"HMPNQEV1"	NA	"evidence of alcohol withdrawal"	"940781000006100"	"940781000006116"	28
"961571000006111"	24794	"EMISCAB16"	NA	"excessive use of alcohol"	"961571000006107"	"961571000006111"	27
"970391000006118"	4545	"EMISNQND25"	NA	"substance misuse of alcohol"	"970391000006102"	"970391000006118"	17
"970401000006116"	91	"EMISNQMI149"	NA	"misuse of mixture of alcohol"	"970401000006100"	"970401000006116"	17
"970411000006118"	2497	"EMISNQMI150"	NA	"misuse of alcohol unspecified"	"970411000006102"	"970411000006118"	17
"973011000006119"	1	"TRIQQZZ57"	NA	"** seminars in alcohol & drug misuse"	"973011000006103"	"973011000006119"	37
"991151000006114"	1	"SM0-98"	"SM0..98"	"alcohol nos - toxic effect"	"67426006"	"991151000006114"	32
"1538911000006119"	2	"PCSQI96"	NA	"structured alcohol intervention"	"1538911000006103"	"1538911000006119"	30
"1675391000006112"	399	"EMISNQRE93"	NA	"referral by community alcohol team"	"1675391000006108"	"1675391000006112"	37
"1779661000006118"	260	"EMISNQAL12"	NA	"alcohol detoxification declined"	"1779661000006102"	"1779661000006118"	32
"1808491000006113"	1	"JHCAL2"	NA	"alcohol-related legal or disciplinary problem"	"1808491000006109"	"1808491000006113"	17
"1808611000006118"	1	"JHCAR24"	NA	"arep - alcohol rehabilitation education program"	"1808611000006102"	"1808611000006118"	32
"1878791000006112"	1	"EMISNQIN186"	NA	"in-house alcohol detoxification"	"1878791000006108"	"1878791000006112"	37
"1926131000006117"	18	"8W2"	"8W2..00"	"referral to mental health services deferred until alcohol misuse resolved"	"933641000000103"	"2391941000000114"	32
"1972151000006110"	109	"EMISICD10|F1000"	NA	"mental & behav dis due to use alcohol: acute intoxication, uncomplicated"	"1972151000006106"	"1972151000006110"	32
"1972161000006112"	18	"EMISICD10|F1001"	NA	"mental & behav dis due to use alcohol: acute intoxication, with trauma or other bodily injury"	"1972161000006108"	"1972161000006112"	32
"1972271000006112"	11	"EMISICD10|F1002"	NA	"mental & behav dis due to use alcohol: acute intoxication, with other medical complications"	"1972271000006108"	"1972271000006112"	32
"1973241000006113"	12	"EMISICD10|F1003"	NA	"mental & behav dis due to use alcohol: acute intoxication, with delirium"	"1973241000006109"	"1973241000006113"	32
"1973321000006113"	3	"EMISICD10|F1004"	NA	"mental & behav dis due to use alcohol: acute intoxication, with perceptual distortions"	"1973321000006109"	"1973321000006113"	32
"1973411000006110"	9	"EMISICD10|F1005"	NA	"mental & behav dis due to use alcohol: acute intoxication, with coma"	"1973411000006106"	"1973411000006110"	32
