"prodcode"	"productname"	"ingredient"	"strength"	"formulation"	"route"	"bnfcode"	"anticoagulant"
"56166"	"Heparin sodium 100units/1ml solution for injection ampoules"	"Heparin"	"100unit/1ml"	"Solution for injection"	"Route of administration not applicable"	"02080100"	"Heparin"
"56289"	"Xarelto 20mg tablets (Bayer Plc)"	"Rivaroxaban"	"20mg"	"Tablet"	"Oral"	"02080200"	"Rivaroxaban"
"56314"	"Warfarin 3mg tablets (Kent Pharmaceuticals Ltd)"	"Warfarin"	"3mg"	"Tablet"	"Oral"	"02080200"	"Warfarin"
"56398"	"Fragmin 5,000units/0.2ml solution for injection pre-filled syringes (Mawdsley-Brooks & Company Ltd)"	"Dalteparin"	"25000unit/1ml"	"Solution for injection"	"Subcutaneous"	"02080100"	"Dalteparin"
"56640"	"Xarelto 15mg tablets (Bayer Plc)"	"Rivaroxaban"	"15mg"	"Tablet"	"Oral"	"02080200"	"Rivaroxaban"
"57032"	"Warfarin 1mg/ml oral suspension sugar free (Rosemont Pharmaceuticals Ltd)"	"Warfarin"	"1mg/1ml"	"Oral suspension"	"Oral"	"02080200"	"Warfarin"
"57204"	"Heparin calcium 5,000units/0.2ml solution for injection pre-filled syringes"	"Heparin"	"25000unit/1ml"	"Solution for injection"	"Subcutaneous"	"00000000"	"Heparin"
"58519"	"Warfarin 1mg tablets (DE Pharmaceuticals)"	"Warfarin"	"1mg"	"Tablet"	"Oral"	"02080200"	"Warfarin"
"58594"	"Eliquis 5mg tablets (Bristol-Myers Squibb Pharmaceuticals Ltd)"	"Apixaban"	"5mg"	"Tablet"	"Oral"	"02080200"	"Apixaban"
"58787"	"Warfarin 5mg tablets (Alliance Healthcare (Distribution) Ltd)"	"Warfarin"	"5mg"	"Tablet"	"Oral"	"02080200"	"Warfarin"
"58962"	"Warfarin 3mg tablets (DE Pharmaceuticals)"	"Warfarin"	"3mg"	"Tablet"	"Oral"	"02080200"	"Warfarin"
"59400"	"Warfarin 500microgram tablets (Sigma Pharmaceuticals Plc)"	"Warfarin"	"500microgram"	"Tablet"	"Oral"	"02080200"	"Warfarin"
"59578"	"Warfarin 3mg tablets (Phoenix Healthcare Distribution Ltd)"	"Warfarin"	"3mg"	"Tablet"	"Oral"	"02080200"	"Warfarin"
"59761"	"Heparin sodium 1,000units/1ml solution for injection ampoules (Wockhardt UK Ltd)"	"Heparin"	"1000unit/1ml"	"Solution for injection"	"Intravenous"	"02080100"	"Heparin"
"60041"	"Danaparoid sodium 750units/0.6ml solution for injection ampoules"	"Danaparoid"	"1250unit/1ml"	"Solution for injection"	"Subcutaneous/Intravenous"	"02080100"	"Danaparoid"
"60131"	"Heparin sodium 50units/5ml patency solution ampoules (A A H Pharmaceuticals Ltd)"	"Heparin"	"10unit/1ml"	"Not applicable"	"Route of administration not applicable"	"71120000"	"Heparin"
"60188"	"Heparin sodium 5,000units/1litre infusion bags"	"Heparin"	"5unit/1ml"	"Infusion"	"Intravenous"	"02080100"	"Heparin"
"60589"	"Warfarin 500microgram tablets (Actavis UK Ltd)"	"Warfarin"	"500microgram"	"Tablet"	"Oral"	"02080200"	"Warfarin"
"60949"	"Warfarin 5mg/5ml oral suspension"	"Warfarin"	"1mg/1ml"	"Oral suspension"	"Oral"	"02080200"	"Warfarin"
"61949"	"Fondaparinux sodium 10mg/0.8ml solution for injection pre-filled syringes"	"Fondaparinux"	"12.5mg/1ml"	"Solution for injection"	"Subcutaneous"	"02080100"	"Fondaparinux"
"62150"	"Rivaroxaban 2.5mg tablets"	"Rivaroxaban"	"2.5mg"	"Tablet"	"Oral"	"02080200"	"Rivaroxaban"
"62309"	"Warfarin 500microgram tablets (Kent Pharmaceuticals Ltd)"	"Warfarin"	"500microgram"	"Tablet"	"Oral"	"02080200"	"Warfarin"
"62310"	"Warfarin 500microgram tablets (AMCo)"	"Warfarin"	"500microgram"	"Tablet"	"Oral"	"02080200"	"Warfarin"
"62856"	"Tinzaparin sodium 12,000units/0.6ml solution for injection pre-filled syringes"	"Tinzaparin"	"20000unit/1ml"	"Solution for injection"	"Subcutaneous"	"02080100"	"Tinzaparin"
"62902"	"Tinzaparin sodium 16,000units/0.8ml solution for injection pre-filled syringes"	"Tinzaparin"	"20000unit/1ml"	"Solution for injection"	"Subcutaneous"	"02080100"	"Tinzaparin"
"62959"	"Heparin calcium 5,000units/0.2ml solution for injection ampoules (A A H Pharmaceuticals Ltd)"	"Heparin"	"25000unit/1ml"	"Solution for injection"	"Intravenous/Subcutaneous"	"02080100"	"Heparin"
"63071"	"Warfarin 4mg tablets"	"Warfarin"	"4mg"	"Tablet"	"Oral"	"02080200"	"Warfarin"
"63101"	"Tinzaparin sodium 8,000units/0.4ml solution for injection pre-filled syringes"	"Tinzaparin"	"20000unit/1ml"	"Solution for injection"	"Subcutaneous"	"02080100"	"Tinzaparin"
"63146"	"Heparin sodium 20,000units/20ml solution for injection ampoules"	"Heparin"	"1000unit/1ml"	"Solution for injection"	"Intravenous"	"02080100"	"Heparin"
