code,description,coding_system,concept_id,concept_version_id,concept_name,phenotype_id,phenotype_version_id,phenotype_name,code_attributes
Eu10z00,[x]ment & behav dis due use alcohol: unsp ment & behav dis,Read codes v2,C1803,4744,Clinically Significant Alcohol Misuse - Primary Care,PH444,888,Clinically Significant Alcohol Misuse,"[{""Entity type"": ""res32: Clinically Significant Alcohol Misuse"", ""Category"": ""diagnostic"", ""Coding System (Read)"": ""Read""}]"
F11x000,cerebral degeneration due to alcoholism,Read codes v2,C1803,4744,Clinically Significant Alcohol Misuse - Primary Care,PH444,888,Clinically Significant Alcohol Misuse,"[{""Entity type"": ""res32: Clinically Significant Alcohol Misuse"", ""Category"": ""diagnostic"", ""Coding System (Read)"": ""Read""}]"
F11x011,alcoholic encephalopathy,Read codes v2,C1803,4744,Clinically Significant Alcohol Misuse - Primary Care,PH444,888,Clinically Significant Alcohol Misuse,"[{""Entity type"": ""res32: Clinically Significant Alcohol Misuse"", ""Category"": ""diagnostic"", ""Coding System (Read)"": ""Read""}]"
F144000,cerebellar ataxia due to alcoholism,Read codes v2,C1803,4744,Clinically Significant Alcohol Misuse - Primary Care,PH444,888,Clinically Significant Alcohol Misuse,"[{""Entity type"": ""res32: Clinically Significant Alcohol Misuse"", ""Category"": ""diagnostic"", ""Coding System (Read)"": ""Read""}]"
F25B.00,alcohol-induced epilepsy,Read codes v2,C1803,4744,Clinically Significant Alcohol Misuse - Primary Care,PH444,888,Clinically Significant Alcohol Misuse,"[{""Entity type"": ""res32: Clinically Significant Alcohol Misuse"", ""Category"": ""diagnostic"", ""Coding System (Read)"": ""Read""}]"
F375.00,alcoholic polyneuropathy,Read codes v2,C1803,4744,Clinically Significant Alcohol Misuse - Primary Care,PH444,888,Clinically Significant Alcohol Misuse,"[{""Entity type"": ""res32: Clinically Significant Alcohol Misuse"", ""Category"": ""diagnostic"", ""Coding System (Read)"": ""Read""}]"
F394100,alcoholic myopathy,Read codes v2,C1803,4744,Clinically Significant Alcohol Misuse - Primary Care,PH444,888,Clinically Significant Alcohol Misuse,"[{""Entity type"": ""res32: Clinically Significant Alcohol Misuse"", ""Category"": ""diagnostic"", ""Coding System (Read)"": ""Read""}]"
G555.00,alcoholic cardiomyopathy,Read codes v2,C1803,4744,Clinically Significant Alcohol Misuse - Primary Care,PH444,888,Clinically Significant Alcohol Misuse,"[{""Entity type"": ""res32: Clinically Significant Alcohol Misuse"", ""Category"": ""diagnostic"", ""Coding System (Read)"": ""Read""}]"
G852300,oesophageal varices in alcoholic cirrhosis of the liver,Read codes v2,C1803,4744,Clinically Significant Alcohol Misuse - Primary Care,PH444,888,Clinically Significant Alcohol Misuse,"[{""Entity type"": ""res32: Clinically Significant Alcohol Misuse"", ""Category"": ""diagnostic"", ""Coding System (Read)"": ""Read""}]"
J610.00,alcoholic fatty liver,Read codes v2,C1803,4744,Clinically Significant Alcohol Misuse - Primary Care,PH444,888,Clinically Significant Alcohol Misuse,"[{""Entity type"": ""res32: Clinically Significant Alcohol Misuse"", ""Category"": ""diagnostic"", ""Coding System (Read)"": ""Read""}]"
J611.00,acute alcoholic hepatitis,Read codes v2,C1803,4744,Clinically Significant Alcohol Misuse - Primary Care,PH444,888,Clinically Significant Alcohol Misuse,"[{""Entity type"": ""res32: Clinically Significant Alcohol Misuse"", ""Category"": ""diagnostic"", ""Coding System (Read)"": ""Read""}]"
J612.00,alcoholic cirrhosis of liver,Read codes v2,C1803,4744,Clinically Significant Alcohol Misuse - Primary Care,PH444,888,Clinically Significant Alcohol Misuse,"[{""Entity type"": ""res32: Clinically Significant Alcohol Misuse"", ""Category"": ""diagnostic"", ""Coding System (Read)"": ""Read""}]"
J612000,alcoholic fibrosis and sclerosis of liver,Read codes v2,C1803,4744,Clinically Significant Alcohol Misuse - Primary Care,PH444,888,Clinically Significant Alcohol Misuse,"[{""Entity type"": ""res32: Clinically Significant Alcohol Misuse"", ""Category"": ""diagnostic"", ""Coding System (Read)"": ""Read""}]"
J613.00,alcoholic liver damage unspecified,Read codes v2,C1803,4744,Clinically Significant Alcohol Misuse - Primary Care,PH444,888,Clinically Significant Alcohol Misuse,"[{""Entity type"": ""res32: Clinically Significant Alcohol Misuse"", ""Category"": ""diagnostic"", ""Coding System (Read)"": ""Read""}]"
J613000,alcoholic hepatic failure,Read codes v2,C1803,4744,Clinically Significant Alcohol Misuse - Primary Care,PH444,888,Clinically Significant Alcohol Misuse,"[{""Entity type"": ""res32: Clinically Significant Alcohol Misuse"", ""Category"": ""diagnostic"", ""Coding System (Read)"": ""Read""}]"
J617.00,alcoholic hepatitis,Read codes v2,C1803,4744,Clinically Significant Alcohol Misuse - Primary Care,PH444,888,Clinically Significant Alcohol Misuse,"[{""Entity type"": ""res32: Clinically Significant Alcohol Misuse"", ""Category"": ""diagnostic"", ""Coding System (Read)"": ""Read""}]"
J617000,chronic alcoholic hepatitis,Read codes v2,C1803,4744,Clinically Significant Alcohol Misuse - Primary Care,PH444,888,Clinically Significant Alcohol Misuse,"[{""Entity type"": ""res32: Clinically Significant Alcohol Misuse"", ""Category"": ""diagnostic"", ""Coding System (Read)"": ""Read""}]"
J671000,alcohol-induced chronic pancreatitis,Read codes v2,C1803,4744,Clinically Significant Alcohol Misuse - Primary Care,PH444,888,Clinically Significant Alcohol Misuse,"[{""Entity type"": ""res32: Clinically Significant Alcohol Misuse"", ""Category"": ""diagnostic"", ""Coding System (Read)"": ""Read""}]"
SLH3.00,alcohol deterrent poisoning,Read codes v2,C1803,4744,Clinically Significant Alcohol Misuse - Primary Care,PH444,888,Clinically Significant Alcohol Misuse,"[{""Entity type"": ""res32: Clinically Significant Alcohol Misuse"", ""Category"": ""diagnostic"", ""Coding System (Read)"": ""Read""}]"
