"medcodeid"	"Observations"	"OriginalReadCode"	"CleansedReadCode"	"term"	"SnomedCTConceptId"	"SnomedCTDescriptionId"	"EmisCodeCategoryId"
"6687951000006119"	1	"^ESCTFA668795"	NA	"familial hypercholesterolemia due to genetic defect of apolipoprotein b"	"403831006"	"1775045012"	32
"6693831000006111"	1	"^ESCTDI669383"	NA	"diffuse normolipemic plane xanthomatosis"	"404163009"	"1783118019"	31
"6857991000006113"	2	"^ESCTHI685799"	NA	"history of hypercholesterolaemia"	"414416008"	"2535182012"	31
"6858001000006115"	1	"^ESCTHI685800"	NA	"history of hypercholesterolemia"	"414416008"	"2535181017"	31
"7054871000006111"	96	"^ESCTCH705487"	NA	"chemically induced hyperlipidaemia"	"426161002"	"2674570010"	32
"7097881000006113"	1482	"^ESCTDI709788"	NA	"dietary education for lipid disorder"	"429071001"	"2693937011"	31
"7097901000006110"	494	"^ESCTDI709790"	NA	"dietary education for hyperlipidaemia"	"429072008"	"2694630018"	31
"7261041000006112"	398	"^ESCTSE726104"	NA	"serum triglycerides borderline high"	"442193004"	"2819854016"	34
"7261561000006118"	3976	"^ESCTSE726156"	NA	"serum cholesterol borderline high"	"442234001"	"2820789017"	34
"7263101000006113"	20	"^ESCTSE726310"	NA	"serum cholesterol borderline low"	"442350007"	"2819746011"	34
"7264941000006110"	8	"^ESCTSE726494"	NA	"serum triglycerides borderline low"	"442480001"	"2820247012"	34
"7301411000006114"	10	"^ESCTLO730141"	NA	"low density lipoprotein receptor mutation"	"445010006"	"2872219016"	31
"7360751000006114"	10	"^ESCTHI736075"	NA	"high density lipoprotein deficiency"	"448834003"	"2901227016"	32
"7483481000006112"	8	"^ESCTPO748348"	NA	"possible familial hypercholesterolemia"	"473145005"	"2956035019"	27
"7510431000006112"	1094	"^ESCTSU751043"	NA	"suspected heterozygous familial hypercholesterolaemia"	"698600006"	"2975021013"	27
"7510441000006119"	1	"^ESCTSU751044"	NA	"suspected heterozygous familial hypercholesterolemia"	"698600006"	"2974977017"	27
"7533901000006114"	1	"^ESCTXA753390"	NA	"xanthoma of upper eyelid"	"700342000"	"2989848010"	31
"7966561000006111"	130	"^ESCTMI796656"	NA	"mixed hyperlipidaemia due to type 2 diabetes mellitus"	"701000119103"	"3014148013"	32
"7966831000006116"	1	"^ESCTDI796683"	NA	"diabetic dyslipidemia associated with type 2 diabetes mellitus"	"761000119102"	"2967622019"	31
"7969211000006115"	14	"^ESCTMI796921"	NA	"mixed hyperlipidaemia due to type 1 diabetes mellitus"	"1571000119104"	"3013050012"	32
"8035211000006110"	1	"^ESCTDY803521"	NA	"dyslipidemia with high density lipoprotein below reference range and triglyceride above reference range due to type 2 diabetes mellitus"	"111231000119109"	"3011558015"	31
"8036201000006119"	41	"^ESCTHY803620"	NA	"hyperlipidaemia caused by steroid"	"114831000119107"	"3288754018"	32
"8043301000006116"	486	"^ESCTHY804330"	NA	"hyperlipidaemia due to type 2 diabetes mellitus"	"137931000119102"	"3013435012"	32
"8043321000006114"	75	"^ESCTHY804332"	NA	"hyperlipidaemia due to type 1 diabetes mellitus"	"137941000119106"	"3013242014"	32
"8192861000006119"	81	"^ESCTPO819286"	NA	"possible heterozygous familial hypercholesterolaemia"	"513831000000107"	"1142501000000112"	27
"8214761000006118"	58523	"^ESCTLI821476"	NA	"lipid disorder monitoring invitation"	"711471000000106"	"1555961000000117"	37
"8215641000006110"	2	"^ESCTLI821564"	NA	"lipid disorder monitoring administration"	"713841000000104"	"1565081000000116"	31
"11639951000006118"	13	"ALLERGY125829NEMIS"	NA	"adverse reaction to cholesterol and simvastatin"	"11639951000006102"	"11639951000006118"	5
"11998141000006116"	1028	"^ESCT1199814"	NA	"cholesterol reduction programme"	"151259001"	"235888010"	31
"11998171000006112"	1261	"^ESCT1199817"	NA	"cholesterol reduction programme declined"	"182981008"	"3637691014"	32
"12024181000006115"	2	"^ESCT1202418"	NA	"lipid-lowering therapy started"	"764968003"	"3655848011"	31
"12052551000006114"	8	"^ESCT1205255"	NA	"double heterozygous familial hypercholesterolaemia"	"767133009"	"3664437017"	32
"12353501000006117"	4	"^ESCT1235350"	NA	"ldlr (low density lipoprotein receptor) mutation"	"445010006"	"3664442013"	31
"12462911000006116"	2	"^ESCT1246291"	NA	"[x]antihyperlipidaemic and antiarteriosclerotic drugs causing adverse effects in therapeutic use"	"459431000000105"	"803291000000110"	5
"12619211000006117"	42	"^ESCT1261921"	NA	"referral for lipid lowering therapy"	"1105081000000108"	"2766111000000118"	31
"12680511000006110"	4967	"^ESCT1268051"	NA	"lipid lowering therapy"	"134350008"	"2768421000000115"	32
"12704051000006116"	18	"^ESCT1270405"	NA	"fibrate antihyperlipidaemic adverse reaction"	"418466007"	"2579025010"	5
"12716491000006111"	1837	"^ESCT1271649"	NA	"serum cholesterol borderline"	"166829003"	"259228016"	34
"12716501000006115"	169	"^ESCT1271650"	NA	"serum triglycerides borderline"	"166847009"	"259257017"	34
"13526571000006112"	4	"^ESCT1352657"	NA	"hypercholesterolaemia due to cholesterol 7alpha-hydroxylase deficiency"	"773726000"	"3726003017"	32
"13871201000006111"	1	"^ESCT1387120"	NA	"dyslipidemia due to type 2 diabetes mellitus"	"761000119102"	"3775798018"	31
"14308971000006110"	512	"^ESCT1430897"	NA	"history of secondary hypercholesterolaemia"	"1363961000000109"	"2883641000000115"	32
"14308981000006113"	5	"^ESCT1430898"	NA	"h/o secondary hypercholesterolaemia"	"1363961000000109"	"2883651000000117"	32
"14308991000006111"	364	"^ESCT1430899"	NA	"history of secondary hyperlipidaemia"	"1363981000000100"	"2883691000000113"	32
"14309001000006111"	4	"^ESCT1430900"	NA	"h/o secondary hyperlipidaemia"	"1363981000000100"	"2883701000000113"	32
"14805151000006114"	23	"^ESCT1480515"	NA	"ldlr (low density lipoprotein receptor) gene mutation positive"	"204891000237102"	"307501000237110"	3
"14805221000006110"	441	"^ESCT1480522"	NA	"genetic variant causing familial hypercholesterolaemia not detected"	"204931000237105"	"307611000237111"	27
"14805231000006113"	3	"^ESCT1480523"	NA	"genetic variant causing fh (familial hypercholesterolaemia) not detected"	"204931000237105"	"307631000237117"	27
"14805241000006115"	3	"^ESCT1480524"	NA	"genetic variant causing familial hypercholesterolaemia detection result negative"	"204931000237105"	"307641000237112"	27
"15131791000006111"	17	"^ESCT1513179"	NA	"genetic variant of uncertain significance for familial hypercholesterolaemia detected"	"1669121000000107"	"3215361000000114"	27
"15131811000006110"	4	"^ESCT1513181"	NA	"genetic vus (variant of uncertain significance) for fh (familial hypercholesterolaemia) detected"	"1669121000000107"	"3215381000000117"	27
"15220971000006116"	267	"^ESCT1522097"	NA	"lipoprotein (a) hyperlipoproteinaemia"	"1264212004"	"5171714017"	32
"6611941000006113"	1	"^ESCTDY661194"	NA	"dysbetalipoproteinaemia"	"398796005"	"1783666010"	32
