"term"	"Group"	"Umbrella"	"medcodeid"
"anterior circulation transient ischaemic attack"	NA	"Stroke"	"5011491000006115"
"vertebrobasilar territory transient ischaemic attack"	NA	"Stroke"	"5011521000006118"
"posterior circulation transient ischaemic attack"	NA	"Stroke"	"5011551000006110"
"subarachnoid hemorrhage due to ruptured arteriovenous malformation"	NA	"Stroke"	"5011571000006117"
"subarachnoid haemorrhage due to ruptured aneurysm"	NA	"Stroke"	"5011581000006119"
"asymptomatic cerebrovascular disease"	NA	"Stroke"	"5011861000006114"
"spinal cord stroke"	NA	"Stroke"	"5011871000006119"
"traumatic intracranial subarachnoid haemorrhage"	NA	"Stroke"	"5459271000006119"
"traumatic cranial subarachnoid hemorrhage"	NA	"Stroke"	"5459281000006116"
"traumatic intracranial subarachnoid hemorrhage"	NA	"Stroke"	"5459291000006118"
"traumatic cranial subarachnoid haemorrhage"	NA	"Stroke"	"5459301000006117"
"tia - transient ischaemic attack"	NA	"Stroke"	"5492201000006111"
"spontaneous subarachnoid haemorrhage"	NA	"Stroke"	"5518041000006112"
"spontaneous subarachnoid hemorrhage"	NA	"Stroke"	"5518061000006111"
"sah - spontaneous subarachnoid haemorrhage"	NA	"Stroke"	"5518071000006116"
"occipital cerebral infarction"	NA	"Stroke"	"5582311000006110"
"subarachnoid haemorrhage from middle cerebral artery aneurysm"	NA	"Stroke"	"5583021000006113"
"subarachnoid haemorrhage from anterior communicating artery aneurysm"	NA	"Stroke"	"5583061000006119"
"subarachnoid haemorrhage from posterior communicating artery aneurysm"	NA	"Stroke"	"5583081000006112"
"subarachnoid haemorrhage from basilar artery aneurysm"	NA	"Stroke"	"5583101000006116"
"subarachnoid haemorrhage from posterior inferior cerebellar artery aneurysm"	NA	"Stroke"	"5583121000006114"
"intraventricular haemorrhage of prematurity"	NA	"Stroke"	"5588471000006111"
"perinatal cerebral ischaemia"	NA	"Stroke"	"5589431000006117"
"extension of cerebrovascular accident"	NA	"Stroke"	"5649201000006113"
"cerebral ischaemia"	NA	"Stroke"	"5726831000006118"
"stroke test positive"	NA	"Stroke"	"5866391000006119"
"referral to stroke service"	NA	"Stroke"	"5960821000006117"
"discharge from stroke service"	NA	"Stroke"	"5960951000006117"
"seen by stroke service"	NA	"Stroke"	"5960971000006110"
"stroke unit"	NA	"Stroke"	"5994741000006112"
"stroke service"	NA	"Stroke"	"5996861000006112"
"thrombotic stroke"	NA	"Stroke"	"6348291000006115"
"embolic stroke"	NA	"Stroke"	"6348301000006119"
"basal ganglion stroke"	NA	"Stroke"	"6837051000006119"
"stroke / transient ischemic attack referral"	NA	"Stroke"	"6837371000006110"
"stroke/transient ischemic attack referral"	NA	"Stroke"	"6837381000006113"
"cardioembolic stroke"	NA	"Stroke"	"6846141000006118"
"stroke/transient ischaemic attack monitoring invitation"	NA	"Stroke"	"6908391000006111"
"ischaemic stroke"	NA	"Stroke"	"6990981000006114"
"ischemic stroke"	NA	"Stroke"	"6990991000006112"
"transient cerebral ischaemia due to atrial fibrillation"	NA	"Stroke"	"7064691000006118"
"thalamic stroke"	NA	"Stroke"	"7071911000006114"
"recurrent transient cerebral ischaemic attack"	NA	"Stroke"	"7289121000006119"
"recurrent transient cerebral ischemic attack"	NA	"Stroke"	"7289131000006116"
"intracranial haemorrhage following injury"	NA	"Stroke"	"7378271000006116"
"traumatic intracerebral hemorrhage"	NA	"Stroke"	"7378401000006111"
"traumatic intracerebral haemorrhage"	NA	"Stroke"	"7378421000006118"
"cerebrovascular accident annual review"	NA	"Stroke"	"7519441000006112"
"stroke clinic"	NA	"Stroke"	"7568281000006111"
"non-aneurysmal subarachnoid intracranial haemorrhage"	NA	"Stroke"	"7572361000006118"
"perimesencephalic subarachnoid haemorrhage"	NA	"Stroke"	"7572381000006111"
"perimesencephalic subarachnoid hemorrhage"	NA	"Stroke"	"7572391000006114"
"cerebral infarction due to embolism of middle cerebral artery"	NA	"Stroke"	"7598981000006119"
"cerebral infarction due to thrombosis of middle cerebral artery"	NA	"Stroke"	"7599001000006116"
"referral to transient ischaemic attack clinic"	NA	"Stroke"	"7599261000006111"
"post stroke pain"	NA	"Stroke"	"7703601000006113"
"traumatic subarachnoid haemorrhage without coma"	NA	"Stroke"	"7834511000006116"
"silent cerebral infarct"	NA	"Stroke"	"7839991000006115"
"cerebral ischaemic stroke due to small artery occlusion"	NA	"Stroke"	"7855631000006111"
"epilepsy due to stroke"	NA	"Stroke"	"7861341000006115"
"sequela of ischaemic cerebral infarction"	NA	"Stroke"	"8011371000006117"
"sequela of cardioembolic stroke"	NA	"Stroke"	"8014911000006110"
"visual disturbance as sequela of cerebrovascular disease"	NA	"Stroke"	"8026081000006119"
"dna (did not attend) stroke clinic"	NA	"Stroke"	"8026451000006117"
"ischaemic stroke without coma"	NA	"Stroke"	"8044481000006118"
"nontraumatic intracerebral haemorrhage"	NA	"Stroke"	"8089851000006116"
"stroke/cerebrovascular accident 6 month review"	NA	"Stroke"	"8195431000006118"
"did not attend stroke review"	NA	"Stroke"	"8196061000006110"
"transient ischaemic attack monthly review"	NA	"Stroke"	"8196661000006116"
"stroke and tia"	NA	"Stroke"	"8221321000006118"
"personal history of transient ischaemic attack"	NA	"Stroke"	"8231151000006110"
"management of stroke rehabilitation"	NA	"Stroke"	"8264201000006110"
"acute stroke care"	NA	"Stroke"	"8265471000006116"
"stroke medicine"	NA	"Stroke"	"8274811000006116"
"transient ischaemic attack service"	NA	"Stroke"	"8313401000006119"
"tia (transient ischaemic attack) service"	NA	"Stroke"	"8313411000006116"
"haemorrhagic stroke"	NA	"Stroke"	"8453031000006117"
"emergency hospital admission to stroke service"	NA	"Stroke"	"8453821000006113"
"cerebellar stroke"	NA	"Stroke"	"9912271000006112"
"transient cerebral ischemia"	NA	"Stroke"	"11920121000006117"
"intracerebral hemorrhage"	NA	"Stroke"	"12223111000006115"
"ich - intracerebral haemorrhage"	NA	"Stroke"	"12223121000006111"
"ich - intracerebral hemorrhage"	NA	"Stroke"	"12223131000006114"
"qof (quality and outcomes framework) stroke and transient ischaemic attack quality indicator-related care invitation"	NA	"Stroke"	"12626401000006115"
"qof (quality and outcomes framework) stroke and transient ischaemic attack quality indicator-related care invitation using preferred method of communication"	NA	"Stroke"	"12734411000006116"
"subarachnoid hemorrhage"	NA	"Stroke"	"12761901000006117"
"cerebrovascular accident due to stenosis of bilateral carotid arteries"	NA	"Stroke"	"13717171000006112"
"history of embolic cerebrovascular accident"	NA	"Stroke"	"13718601000006110"
"history of cerebrovascular accident due to ischaemia"	NA	"Stroke"	"13718621000006117"
"history of ischaemic stroke"	NA	"Stroke"	"13718641000006112"
"subarachnoid haemorrhage due to traumatic injury"	NA	"Stroke"	"13796131000006110"
"cerebral ischaemic stroke due to dissection of artery"	NA	"Stroke"	"13909861000006114"
"cerebral ischaemic stroke due to global hypoperfusion with watershed infarct"	NA	"Stroke"	"13909881000006116"
"cerebral ischaemic stroke due to hypercoagulable state"	NA	"Stroke"	"13909891000006118"
"cerebral ischaemic stroke co-occurrent with subarachnoid haemorrhage"	NA	"Stroke"	"13909901000006119"
"cerebrovascular accident due to occlusion of bilateral pontine arteries"	NA	"Stroke"	"14014251000006116"
"history of transient ischaemic attack"	NA	"Stroke"	"14068071000006114"
"cryptogenic stroke"	NA	"Stroke"	"14182621000006113"
"acute stroke due to occlusion of left posterior cerebral artery"	NA	"Stroke"	"14194161000006118"
"acute cerebrovascular accident due to stenosis of left carotid artery"	NA	"Stroke"	"14194191000006114"
"acute cerebrovascular accident due to occlusion of left middle cerebral artery"	NA	"Stroke"	"14194211000006110"
"acute cerebrovascular accident due to occlusion of right posterior cerebral artery"	NA	"Stroke"	"14194281000006115"
"acute cerebrovascular accident due to occlusion of right middle cerebral artery"	NA	"Stroke"	"14194331000006112"
"acute cerebrovascular accident due to occlusion of right carotid artery"	NA	"Stroke"	"14194491000006118"
"acute cerebrovascular accident due to occlusion of left carotid artery"	NA	"Stroke"	"14194571000006115"
"acute cerebrovascular accident of basal ganglia"	NA	"Stroke"	"14194611000006113"
"acute cerebrovascular accident of brainstem"	NA	"Stroke"	"14194641000006112"
"acute stroke of brainstem"	NA	"Stroke"	"14194651000006114"
"acute cerebrovascular accident due to stenosis of right carotid artery"	NA	"Stroke"	"14194661000006111"
"acute cerebrovascular accident due to occlusion of right cerebellar artery"	NA	"Stroke"	"14194741000006118"
"acute cerebrovascular accident due to ischaemia"	NA	"Stroke"	"14194801000006111"
"acute ischaemic stroke"	NA	"Stroke"	"14194811000006114"
"acute cerebrovascular accident due to occlusion of left cerebellar artery"	NA	"Stroke"	"14194841000006113"
"acute cerebrovascular accident due to embolism of right middle cerebral artery"	NA	"Stroke"	"14194941000006115"
"acute cerebrovascular accident due to embolism of left middle cerebral artery"	NA	"Stroke"	"14194971000006111"
