"prodcodeid"	"productname"	"formulation"	"route"	"ingredient"	"strength"	"BNFChapter"	"LipidRegulatingMed"
"13742141000033110"	"Nilemdo 180mg tablets"	"Tablet"	"Oral"	"Bempedoic acid"	"180.000mg"	NA	"Bempedoic acid"
"13742241000033115"	"Bempedoic acid 180mg / Ezetimibe 10mg tablets"	"Tablet"	"Oral"	"Bempedoic acid/Ezetimibe"	"180.000mg + 10.000mg"	NA	"Bempedoic acid/Ezetimibe"
"13742341000033113"	"Nustendi 180mg/10mg tablets"	"Tablet"	"Oral"	"Bempedoic acid/Ezetimibe"	"180.000mg + 10.000mg"	NA	"Bempedoic acid/Ezetimibe"
"13780441000033110"	"Solgar Niacin 500mg capsules"	"Capsule"	"Oral"	"Nicotinic acid"	"500.000mg"	NA	"Nicotinic acid"
"13806241000033113"	"Alirocumab 300mg/2ml solution for injection pre-filled disposable devices"	"Solution for injection"	"Subcutaneous"	"Alirocumab"	"150.000mg/1.000ml"	NA	"Alirocumab"
"13806341000033115"	"Praluent 300mg/2ml solution for injection pre-filled pens"	"Solution for injection"	"Subcutaneous"	"Alirocumab"	"150.000mg/1.000ml"	NA	"Alirocumab"
"13860741000033115"	"Rosuvastatin 5mg capsules"	"Capsule"	"Oral"	"Rosuvastatin"	"5.000mg"	NA	"Rosuvastatin"
"13860841000033113"	"Rosuvastatin 10mg capsules"	"Capsule"	"Oral"	"Rosuvastatin"	"10.000mg"	NA	"Rosuvastatin"
"13860941000033117"	"Rosuvastatin 20mg capsules"	"Capsule"	"Oral"	"Rosuvastatin"	"20.000mg"	NA	"Rosuvastatin"
"13861041000033110"	"Rosuvastatin 40mg capsules"	"Capsule"	"Oral"	"Rosuvastatin"	"40.000mg"	NA	"Rosuvastatin"
"13889441000033116"	"Inclisiran 284mg/1.5ml solution for injection pre-filled syringes"	"Solution for injection"	"Subcutaneous"	"Inclisiran"	"189.000mg/1.000ml"	NA	"Inclisiran"
"13889541000033115"	"Leqvio 284mg/1.5ml solution for injection pre-filled syringes"	"Solution for injection"	"Subcutaneous"	"Inclisiran"	"189.000mg/1.000ml"	NA	"Inclisiran"
