"prodcode"	"productname"	"ingredient"	"strength"	"formulation"	"route"	"bnfcode"	"LipidRegulatingMed"
"8706"	"Modalim 100mg tablets (Sanofi)"	"Ciprofibrate"	"100mg"	"Tablet"	"Oral"	"02120300"	"Ciprofibrate"
"8834"	"Lurselle 250mg Tablet (Hoechst Marion Roussel)"	"Probucol"	"250mg"	"Tablet"	"Oral"	"02120700"	"Probucol"
"9153"	"Lescol 40mg capsules (Novartis Pharmaceuticals UK Ltd)"	"Fluvastatin"	"40mg"	"Capsule"	"Oral"	"02120400"	"Fluvastatin"
"9315"	"Lipobay 100microgram Tablet (Bayer Plc)"	"Cerivastatin"	"100microgram"	"Tablet"	"Oral"	"02120400"	"Cerivastatin"
"9316"	"Lipobay 200microgram Tablet (Bayer Plc)"	"Cerivastatin"	"200microgram"	"Tablet"	"Oral"	"02120400"	"Cerivastatin"
"9491"	"Fenofibrate micronised 67mg capsules"	"Fenofibrate"	"67mg"	"Capsule"	"Oral"	"02120300"	"Fenofibrate"
"9639"	"Fenofibrate micronised 160mg tablets"	"Fenofibrate"	"160mg"	"Tablet"	"Oral"	"02120300"	"Fenofibrate"
"9716"	"Supralip 160mg tablets (Mylan)"	"Fenofibrate"	"160mg"	"Tablet"	"Oral"	"02120300"	"Fenofibrate"
"9897"	"Rosuvastatin 40mg tablets"	"Rosuvastatin"	"40mg"	"Tablet"	"Oral"	"02120400"	"Rosuvastatin"
"9920"	"Simvador 20mg tablets (Discovery Pharmaceuticals)"	"Simvastatin"	"20mg"	"Tablet"	"Oral"	"02120400"	"Simvastatin"
"9930"	"Crestor 40mg tablets (AstraZeneca UK Ltd)"	"Rosuvastatin"	"40mg"	"Tablet"	"Oral"	"02120400"	"Rosuvastatin"
"10003"	"Menopace Capsule (Vitabiotics Ltd)"	"Nicotinic acid"	NA	"Capsule"	"Oral"	"09060750"	"Nicotinic acid"
"10094"	"Niaspan titration pack (Abbott Laboratories Ltd)"	"Niaspan"	NA	"Not applicable"	"Route of administration not applicable"	"00000000"	"Niaspan"
"10172"	"Simvastatin 40mg / Ezetimibe 10mg tablets"	"Ezetimibe/Simvastatin"	"40mg + 10mg"	"Tablet"	"Oral"	"02120200/02120400"	"Ezetimibe/Simvastatin"
"10183"	"Simvastatin 40mg with ezetimibe 10mg tablet"	"Ezetimibe/Simvastatin"	"40mg + 10mg"	"Tablets"	"Oral"	"02120200/02120400"	"Ezetimibe/Simvastatin"
"10206"	"Simvastatin 80mg with ezetimibe 10mg tablet"	"Ezetimibe/Simvastatin"	"80mg + 10mg"	"Tablets"	"Oral"	"02120200/02120400"	"Ezetimibe/Simvastatin"
"11627"	"Fluvastatin 80mg modified-release tablets"	"Fluvastatin"	"80mg"	"Modified-release tablet"	"Oral"	"02120400"	"Fluvastatin"
"11785"	"Colestyramine 4g oral powder sachets sugar free"	"Colestyramine"	"4gram"	"Powder"	"Oral"	"01090200/02120100"	"Colestyramine"
"11815"	"Simvastatin 20mg with ezetimibe 10mg tablet"	"Ezetimibe/Simvastatin"	"20mg + 10mg"	"Tablets"	"Oral"	"02120200/02120400"	"Ezetimibe/Simvastatin"
"11976"	"Niaspan 500mg modified-release tablets (Abbott Laboratories Ltd)"	"Nicotinic acid/Niaspan"	"500mg"	"Modified-release tablet"	"Oral"	"02120500"	"Nicotinic acid/Niaspan"
"12211"	"Nicotinic acid 50mg tablets"	"Nicotinic acid"	"50mg"	"Tablet"	"Oral"	"02120500"	"Nicotinic acid"
"12730"	"Vitamin c with vitamins, minerals & other ingredients tablets"	"Nicotinic acid"	NA	"Tablets"	"Oral"	"09010101/09060700"	"Nicotinic acid"
"13041"	"Simvador 10mg tablets (Discovery Pharmaceuticals)"	"Simvastatin"	"10mg"	"Tablet"	"Oral"	"02120400"	"Simvastatin"
"14127"	"Adeks Tablet (Scandipharm)"	"Nicotinic acid"	NA	"Tablet"	"Oral"	"09060750"	"Nicotinic acid"
"14219"	"Simvastatin 80mg / Ezetimibe 10mg tablets"	"Ezetimibe/Simvastatin"	"80mg + 10mg"	"Tablet"	"Oral"	"02120200/02120400"	"Ezetimibe/Simvastatin"
"14379"	"Lipantil Micro 67 capsules (Mylan)"	"Fenofibrate"	"67mg"	"Capsule"	"Oral"	"02120300"	"Fenofibrate"
"14961"	"Berocca effervescent tablets orange (Bayer Plc)"	"Nicotinic acid"	"476mg + 8.6microgram + 130microgram + 10.4mg + 13.6mg + 45.3mg + 7.1mg + 22.7mg + 366microgram + 95mg + 95mg + 9mg"	"Effervescent tablet"	"Oral"	"09040251"	"Nicotinic acid"
