"medcodeid"	"term"
"5063361000006117"	"anaemia of renal disease"
"5063371000006112"	"anemia of renal disease"
"5093351000006116"	"steroid-resistant nephrotic syndrome"
"5093381000006112"	"steroid-dependent nephrotic syndrome"
"5094041000006117"	"acute renal impairment"
"5094071000006113"	"nephrotoxic acute renal failure"
"5094141000006118"	"acute on chronic renal failure"
"5094161000006119"	"end stage renal failure on dialysis"
"5094171000006114"	"end stage renal failure with renal transplant"
"5095431000006117"	"renal disorders in inherited disease"
"5095591000006119"	"first use syndrome of dialysis"
"5095941000006115"	"disorder of peritoneal dialysis catheter"
"5095971000006111"	"blockage of peritoneal dialysis catheter"
"5096031000006117"	"primary non-function of renal transplant"
"5096231000006110"	"failed renal transplant"
"5120131000006116"	"aspiration of chronic ambulatory peritoneal dialysis catheter"
"5120141000006114"	"flushing of chronic ambulatory peritoneal dialysis catheter"
"5120171000006118"	"capd - continuous ambulatory peritoneal dialysis"
"5120251000006115"	"night-time intermittent peritoneal dialysis"
"5140041000006113"	"gout secondary to renal impairment"
"5161281000006112"	"us scan of transplant kidney"
"5161291000006110"	"ultrasound scan of transplant kidney"
"5191471000006111"	"arterial port blood sampling during haemodialysis"
"5191491000006112"	"venous port blood sampling during haemodialysis"
"5335381000006115"	"adult type polycystic kidney disease type 1"
"5335401000006115"	"pkd1 - polycystic kidney disease 1"
"5335421000006113"	"pkd2 - polycystic kidney disease 2"
"5488801000006112"	"kidney dialysis"
"5574511000006116"	"history of kidney disease"
"5647621000006110"	"entire transplant kidney"
"5907591000006115"	"hemodialysis"
"5966771000006111"	"transient acute renal failure"
"6024541000006117"	"donor renal transplantation"
"6210341000006119"	"peritoneal dialysis catheter"
"6447761000006113"	"dialysis care"
"6447771000006118"	"dialysis care education"
"6593721000006112"	"dialysis catheter"
"6613531000006114"	"renal replacement"
"6724211000006116"	"dialysis access maintenance"
"6922501000006119"	"dialysis unit"
"7043231000006112"	"chronic progressive renal failure"
"7083771000006113"	"peritoneal dialysis catheter procedure"
"7103511000006119"	"disorder related to renal transplantation"
"7147741000006114"	"ckd stage 1"
"7147761000006113"	"ckd stage 2"
"7147781000006115"	"ckd stage 4"
"7164601000006118"	"insertion of peritoneal dialysis catheter using fluoroscopy guidance"
"7174791000006111"	"ckd stage 3"
"7174851000006111"	"ckd stage 5"
"7207581000006116"	"laparoscopic insertion of peritoneal dialysis catheter"
"7212381000006113"	"renal transplant biopsy sample"
"7218201000006110"	"peritoneal dialysis catheter in situ"
"7238471000006113"	"biopsy of transplanted kidney using ultrasound guidance"
"7262731000006112"	"cloudy peritoneal dialysis effluent"
"7354801000006116"	"removal of hemodialysis catheter"
"7401361000006113"	"haemodialysis start/stop set"
"7403361000006112"	"haemodialysis system, institutional/home-use"
"7406851000006110"	"peritoneal dialysis system tubing set"
"7480371000006113"	"h/o chronic kidney disease"
"7502751000006112"	"referral to surgical transplant service for renal transplant evaluation"
"7507461000006117"	"awaiting transplantation of kidney"
"7507471000006112"	"awaiting renal transplant"
"7615331000006115"	"anaemia in chronic kidney disease"
"7615361000006112"	"anemia in chronic kidney disease"
"7615371000006117"	"anaemia in end stage renal disease"
"7641781000006113"	"maintenance haemodialysis"
"7643311000006115"	"ckd - chronic kidney disease"
"7643331000006114"	"chronic renal disease"
"7700671000006112"	"cadaver donor for kidney transplant"
"7710041000006114"	"transplant renal artery stenosis"
"7714891000006118"	"chronic kidney disease stage 5 on dialysis"
"7714921000006112"	"chronic kidney disease stage 5 with transplant"
"7723851000006119"	"continuous renal replacement therapy"
"7770921000006110"	"haemodialysis care"
"7827241000006112"	"acute kidney injury due to hypovolaemia"
"7829401000006116"	"acute kidney injury due to sepsis"
"7841541000006119"	"renal insufficiency"
"7854191000006115"	"hdr (hypoparathyroidism, sensorineural deafness, renal disease) syndrome"
"7879771000006116"	"acute kidney injury due to trauma"
