"medcode"	"term"
"112411"	"chronic kidney disease self-management plan review"
"112493"	"acute renal failure induced by radiographic contrast media"
"112548"	"nephrotic syndrome with pseudohermaphroditism"
"112997"	"stenosis of venous side of dialysis arteriovenous shunt"
"113022"	"thrombosis of dialysis arteriovenous graft"
"113481"	"dialysis fluid examination"
"114018"	"post-delivery acute renal failure nos"
"114076"	"[x]other disorders of kidney+ureter in other diseases ce"
"114138"	"acute renal failure induced by cisplatin"
"114272"	"dialysis disequilibrium"
"114305"	"[x]kidny dialysis caus abn reac pt/lat comp no misad at time"
"114306"	"mechanical failure of apparatus during renal dialysis"
"114344"	"excision of rejected transplanted kidney"
"114407"	"accelerated rejection of renal transplant"
"114456"	"placement ambulatory apparatus- compensate renal failure nos"
"114527"	"aneurysm of dialysis vascular access"
"114692"	"acute renal failure induced by poison"
"114707"	"acute hypercalcaemia of dialysis"
"114724"	"stenosis of arterial side of dialysis arteriovenous shunt"
"115002"	"renal tubulo-interstitial disorders in metabolic diseases"
"115019"	"accid cut,puncture,perf,h'ge - kidney dialysis/oth perfusion"
"115392"	"renal tubule insufficiency with biliary malformation"
"115950"	"rupture of dialysis arteriovenous fistula"
"116299"	"incomplete spontaneous abortion with renal failure"
