"medcodeid"	"Observations"	"OriginalReadCode"	"CleansedReadCode"	"term"	"SnomedCTConceptId"	"SnomedCTDescriptionId"	"EmisCodeCategoryId"
"6279601000006113"	6487	"^ESCTBL627960"	NA	"blood glucose level - finding"	"365812005"	"489272010"	34
"6279611000006111"	340	"^ESCTBL627961"	NA	"blood glucose level"	"365812005"	"489271015"	34
"6279621000006115"	2568	"^ESCTBL627962"	NA	"blood glucose result"	"365812005"	"1228669016"	34
"6279631000006117"	7	"^ESCTBL627963"	NA	"blood glucose result - finding"	"365812005"	"1228670015"	34
"6613341000006113"	867	"^ESCTDI661334"	NA	"diabetic monitoring - injection sites abnormal"	"398871001"	"1778359011"	31
"6615341000006112"	14146	"^ESCTDI661534"	NA	"diabetic monitoring - injection sites normal"	"398985007"	"1778453011"	31
"6648161000006111"	4089	"^ESCTBL664816"	NA	"blood glucose control education"	"401069007"	"2576247017"	32
"6710241000006115"	4	"^ESCTBL671024"	NA	"blood glucose status"	"405176005"	"2157004013"	31
"6833931000006116"	17	"^ESCTBL683393"	NA	"blood glucose series"	"412928005"	"2474483019"	31
"6920561000006117"	44	"^ESCTBL692056"	NA	"blood sugar management"	"418389000"	"2576779013"	31
"7257451000006115"	1	"^ESCTME725745"	NA	"measurement of protein and glucose in urine specimen using reagent test strip"	"441948005"	"2818517014"	31
"7265781000006119"	1	"^ESCTRA726578"	NA	"random blood glucose abnormal"	"442545002"	"2820460015"	31
"7282391000006114"	1	"^ESCTUR728239"	NA	"urea, electrolytes and glucose measurement"	"443746006"	"2840070019"	31
"7508821000006112"	2847	"^ESCTBL750882"	NA	"blood glucose monitoring"	"698472009"	"2974507011"	31
"7555951000006113"	1	"^ESCTHO755595"	NA	"home-use/point-of-care blood glucose spot-check analysis system"	"702189000"	"2994623014"	31
"7606161000006116"	14	"^ESCTGL760616"	NA	"glucose monitoring system"	"706130009"	"3025466019"	31
"7628811000006118"	78	"^ESCTST762881"	NA	"steroid-induced hyperglycaemia"	"708122002"	"3033823011"	5
"8077451000006118"	5	"^ESCTGL807745"	NA	"glucose gel administration"	"243841000000104"	"397401000000110"	31
"8099601000006117"	9	"^ESCTRE809960"	NA	"review of glucose intolerance"	"307721000000108"	"557171000000118"	1
"8119331000006114"	11	"^ESCTHY811933"	NA	"hyperglycaemia due to type 1 diabetes mellitus"	"367991000119101"	"3285563015"	31
"8119451000006114"	4	"^ESCTHY811945"	NA	"hyperglycaemia due to type 2 diabetes mellitus"	"368051000119109"	"3285573018"	31
