"medcode"	"readcode"	"clinicalevents"	"immunisationevents"	"referralevents"	"testevents"	"term"	"databaserelease"
"19605"	"L341z00"	642	0	0	0	"second degree perineal tear during delivery nos"	"February 2009"
"99475"	"68b5.00"	20	0	0	0	"antenatal screening result pending"	"May 2010"
"73569"	"L43z.00"	8	0	0	0	"obstetric pulmonary embolism nos"	"February 2009"
"99136"	"Q021200"	3	0	0	0	"fetus/neonate affected by placental damage-amniocentesis"	"April 2010"
"7174"	"L43..00"	320	0	6	0	"obstetric pulmonary embolism"	"February 2009"
"112128"	"L171z00"	1	0	0	0	"maternal gonorrhoea in pregnancy/childbirth/puerperium nos"	"September 2017"
"38782"	"L265.11"	134	0	1	0	"placental insufficiency"	"February 2009"
"112700"	"L13y100"	1	0	0	0	"other pregnancy vomiting - delivered"	"May 2018"
"102969"	"Q213200"	12	0	0	0	"liveborn with labour meconium in liquor"	"September 2011"
"55338"	"L123000"	76	0	3	0	"transient hypertension of pregnancy unspecified"	"February 2009"
"13168"	"62NZ.00"	87629	0	13	1	"antenatal examination nos"	"February 2009"
"57945"	"7F17200"	4	0	0	0	"vacuum delivery before full dilation of cervix"	"February 2009"
"72022"	"L343000"	33	0	0	0	"fourth degree perineal tear during delivery, unspecified"	"February 2009"
"116559"	"8HKN.00"	0	0	1	0	"obstetric d.v. requested"	"May 2024"
"1744"	"L03..00"	65399	0	2373	3	"ectopic pregnancy"	"February 2009"
"109550"	"L416400"	1	0	0	0	"haemorrhoids in pregnancy and puerperium with p/n comp"	"April 2015"
"52640"	"4445.00"	5	0	3	2	"placental function test"	"February 2009"
"29076"	"63D5.00"	98	0	1	0	"placental abnormality"	"February 2009"
"99956"	"L168400"	1	0	0	0	"fatigue during pregnancy with postnatal complication"	"June 2010"
"71314"	"L093.00"	23	0	0	0	"renal failure following abortive pregnancy"	"February 2009"
"63448"	"Z675.00"	76	0	1	0	"antenatal class"	"February 2009"
"91915"	"7M0f400"	21	0	0	0	"from 9 weeks to <14 weeks gestational age"	"February 2009"
