"medcode"	"term"	"database"
"305773012"	"transient hypertension of pregnancy unspecified"	"Aurum"
"305774018"	"transient hypertension of pregnancy - delivered"	"Aurum"
"305776016"	"transient hypertension of pregnancy - not delivered"	"Aurum"
"305780014"	"transient hypertension of pregnancy nos"	"Aurum"
"305802014"	"severe pre-eclampsia - delivered with postnatal complication"	"Aurum"
"305804010"	"severe pre-eclampsia with postnatal complication"	"Aurum"
"305809017"	"eclampsia - delivered with postnatal complication"	"Aurum"
"305810010"	"eclampsia in pregnancy"	"Aurum"
"305813012"	"eclampsia with postnatal complication"	"Aurum"
"305846018"	"mild hyperemesis unspecified"	"Aurum"
"305847010"	"mild hyperemesis-delivered"	"Aurum"
"305848017"	"mild hyperemesis-not delivered"	"Aurum"
"305849013"	"mild hyperemesis gravidarum nos"	"Aurum"
"305850013"	"hyperemesis gravidarum with metabolic disturbance"	"Aurum"
"305854016"	"hyperemesis gravidarum with metabolic disturbance nos"	"Aurum"
"305856019"	"late pregnancy vomiting unspecified"	"Aurum"
"305857011"	"late pregnancy vomiting - delivered"	"Aurum"
"305858018"	"late pregnancy vomiting - not delivered"	"Aurum"
"305859014"	"late pregnancy vomiting nos"	"Aurum"
"305860016"	"vomiting of pregnancy"	"Aurum"
"305861017"	"other pregnancy vomiting unspecified"	"Aurum"
"305862012"	"other pregnancy vomiting - delivered"	"Aurum"
"305863019"	"other pregnancy vomiting - not delivered"	"Aurum"
"305864013"	"other pregnancy vomiting nos"	"Aurum"
"305865014"	"unspecified pregnancy vomiting"	"Aurum"
"305866010"	"unspecified pregnancy vomiting unspecified"	"Aurum"
"305867018"	"unspecified pregnancy vomiting - delivered"	"Aurum"
"305868011"	"unspecified pregnancy vomiting - not delivered"	"Aurum"
"305870019"	"unspecified pregnancy vomiting nos"	"Aurum"
"305880015"	"threatened premature labour"	"Aurum"
"305882011"	"false labour"	"Aurum"
"305883018"	"threatened premature labour unspecified"	"Aurum"
"305886014"	"threatened premature labour - not delivered"	"Aurum"
"305887017"	"false labour at or after 37 completed weeks of gestation"	"Aurum"
"305891010"	"other threatened labour"	"Aurum"
"305894019"	"other threatened labour unspecified"	"Aurum"
"305895018"	"other threatened labour - not delivered"	"Aurum"
"305898016"	"other threatened labour nos"	"Aurum"
"305902010"	"early onset of delivery unspecified"	"Aurum"
"305903017"	"early onset of delivery - delivered"	"Aurum"
"305904011"	"early onset of delivery nos"	"Aurum"
"305905012"	"early or threatened labour nos"	"Aurum"
"305908014"	"post-term pregnancy unspecified"	"Aurum"
"305909018"	"post-term pregnancy - delivered"	"Aurum"
"305910011"	"post-term pregnancy - not delivered"	"Aurum"
"305911010"	"post-term pregnancy nos"	"Aurum"
"305912015"	"prolonged pregnancy nos"	"Aurum"
"305913013"	"other pregnancy complication nec"	"Aurum"
"305936016"	"oedema or excessive weight gain in pregnancy nos"	"Aurum"
"305944016"	"unspecified renal disease in pregnancy unspecified"	"Aurum"
"305945015"	"unspecified renal disease in pregnancy - delivered"	"Aurum"
"305947011"	"unspecified renal disease in pregnancy - not delivered"	"Aurum"
"305949014"	"unspecified renal disease in pregnancy nos"	"Aurum"
"305953011"	"pregnancy care of habitual aborter"	"Aurum"
"305956015"	"peripheral neuritis in pregnancy unspecified"	"Aurum"
"305957012"	"peripheral neuritis in pregnancy - delivered"	"Aurum"
"305959010"	"peripheral neuritis in pregnancy - not delivered"	"Aurum"
"305960017"	"peripheral neuritis in pregnancy with postnatal complication"	"Aurum"
"305961018"	"peripheral neuritis in pregnancy nos"	"Aurum"
"305962013"	"asymptomatic bacteriuria in pregnancy unspecified"	"Aurum"
"305963015"	"asymptomatic bacteriuria in pregnancy - delivered"	"Aurum"
