"prodcodeid"	"productname"	"formulation"	"route"	"ingredient"	"strength"	"BNFChapter"	"antihypertensive"
"3940141000033116"	"Phenoxybenzamine Hydrochloride Capsules 8 mg"	"Capsule"	"Oral"	"Phenoxybenzamine"	NA	NA	"Phenoxybenzamine"
"3940641000033114"	"Hydralazine Hydrochloride Dispersible tablets 10 mg"	"Tablet"	"Oral"	"Hydralazine"	NA	NA	"Hydralazine"
"3940841000033110"	"Captopril 2mg capsules"	"Capsule"	"Oral"	"Captopril"	"2.000mg"	NA	"Captopril"
"3952641000033110"	"Nimodrel XL 30mg tablets"	"Modified-release tablet"	"Oral"	"Nifedipine"	"30.000mg"	NA	"Nifedipine"
"3952741000033118"	"Nimodrel XL 60mg tablets"	"Modified-release tablet"	"Oral"	"Nifedipine"	"60.000mg"	NA	"Nifedipine"
"3963741000033115"	"Amlodipine 10mg/5ml oral suspension"	"Oral suspension"	"Oral"	"Amlodipine"	"2.000mg/1.000ml"	NA	"Amlodipine"
"3995241000033112"	"Irbesartan 300mg / Hydrochlorothiazide 25mg tablets"	"Tablet"	"Oral"	"Hydrochlorothiazide/Irbesartan"	"25.000mg + 300.000mg"	NA	"Hydrochlorothiazide/Irbesartan"
"3995341000033119"	"CoAprovel 300mg/25mg tablets"	"Tablet"	"Oral"	"Hydrochlorothiazide/Irbesartan"	"25.000mg + 300.000mg"	NA	"Hydrochlorothiazide/Irbesartan"
"4021141000033118"	"Slocinx XL 4mg tablets"	"Modified-release tablet"	"Oral"	"Doxazosin"	"4.000mg"	NA	"Doxazosin"
"4021441000033114"	"Amlodipine 5mg / Valsartan 80mg tablets"	"Tablet"	"Oral"	"Amlodipine/Valsartan"	"5.000mg + 80.000mg"	"2060200"	"Amlodipine/Valsartan"
"4021541000033110"	"Amlodipine 5mg / Valsartan 160mg tablets"	"Tablet"	"Oral"	"Amlodipine/Valsartan"	"5.000mg + 160.000mg"	"2060200"	"Amlodipine/Valsartan"
"4021641000033111"	"Amlodipine 10mg / Valsartan 160mg tablets"	"Tablet"	"Oral"	"Amlodipine/Valsartan"	"10.000mg + 160.000mg"	"2060200"	"Amlodipine/Valsartan"
"4021741000033119"	"Exforge 5mg/80mg tablets"	"Tablet"	"Oral"	"Amlodipine/Valsartan"	"5.000mg + 80.000mg"	"2060200"	"Amlodipine/Valsartan"
"4021841000033112"	"Exforge 5mg/160mg tablets"	"Tablet"	"Oral"	"Amlodipine/Valsartan"	"5.000mg + 160.000mg"	"2060200"	"Amlodipine/Valsartan"
"4021941000033116"	"Exforge 10mg/160mg tablets"	"Tablet"	"Oral"	"Amlodipine/Valsartan"	"10.000mg + 160.000mg"	"2060200"	"Amlodipine/Valsartan"
"4023641000033112"	"Iloprost 10micrograms/1ml nebuliser liquid ampoules"	"Nebuliser liquid"	"Inhalation"	"Iloprost"	"10.000microgram/1.000ml"	"2050100"	"Iloprost"
"4023741000033115"	"Ventavis 10micrograms/ml nebuliser solution 1ml ampoules"	"Nebuliser liquid"	"Inhalation"	"Iloprost"	"10.000microgram/1.000ml"	"2050100"	"Iloprost"
"4026341000033113"	"Regaine for Women Regular Strength 2% solution"	"Liquid"	"Cutaneous"	"Minoxidil"	"20.000mg/1.000ml"	"13090000"	"Minoxidil"
"4026741000033114"	"Regaine for Men Regular Strength 2% solution"	"Liquid"	"Cutaneous"	"Minoxidil"	"20.000mg/1.000ml"	NA	"Minoxidil"
"4026941000033112"	"Regaine for Men Extra Strength 5% scalp solution"	"Liquid"	"Cutaneous"	"Minoxidil"	"50.000mg/1.000ml"	"13090000"	"Minoxidil"
"4063741000033112"	"Doxadura XL 4mg tablets"	"Modified-release tablet"	"Oral"	"Doxazosin"	"4.000mg"	NA	"Doxazosin"
"4119841000033113"	"Diazoxide Oral Suspension (Sugar-Free) 50 mg/5 ml"	"Oral suspension"	"Oral"	"Diazoxide"	NA	NA	"Diazoxide"
"4125241000033118"	"Minoxidil 2% gel"	"Gel"	"Cutaneous"	"Minoxidil"	"20.000mg/1.000gram"	NA	"Minoxidil"
"4125341000033111"	"Regaine for Men 2% gel"	"Gel"	"Cutaneous"	"Minoxidil"	"20.000mg/1.000gram"	NA	"Minoxidil"
"4152241000033113"	"Ramipril 1.25mg/5ml oral suspension"	"Oral suspension"	"Oral"	"Ramipril"	"250.000microgram/1.000ml"	NA	"Ramipril"
"4152841000033112"	"Cardioplen XL 2.5mg tablets"	"Modified-release tablet"	"Oral"	"Felodipine"	"2.500mg"	NA	"Felodipine"
"4153041000033114"	"Perindopril Oral suspension 8 mg/5 ml"	"Oral suspension"	"Oral"	"Perindopril"	NA	NA	"Perindopril"
