"prodcode"	"productname"	"ingredient"	"strength"	"formulation"	"route"	"bnfcode"	"antihypertensive"
"74749"	"Hydralazine 10mg tablets"	"Hydralazine"	"10mg"	"Tablet"	"Oral"	"02050100"	"Hydralazine"
"74795"	"Amlodipine 10mg tablets (Somex Pharma)"	"Amlodipine"	"10mg"	"Tablet"	"Oral"	"02060200"	"Amlodipine"
"74800"	"Frumil 40mg/5mg tablets (Lexon (UK) Ltd)"	"Amiloride"	"5mg + 40mg"	"Tablet"	"Oral"	"02020400"	"Amiloride"
"74820"	"Amlodipine 10mg tablets (Sigma Pharmaceuticals Plc)"	"Amlodipine"	"10mg"	"Tablet"	"Oral"	"02060200"	"Amlodipine"
"74821"	"Amlodipine 5mg tablets (Apotex UK Ltd)"	"Amlodipine"	"5mg"	"Tablet"	"Oral"	"02060200"	"Amlodipine"
"74831"	"Doxazosin 4mg tablets (Sigma Pharmaceuticals Plc)"	"Doxazosin"	"4mg"	"Tablet"	"Oral"	"02050400/07040150"	"Doxazosin"
"74854"	"Metoprolol 25mg/5ml oral solution"	"Metoprolol"	"5mg/1ml"	"Oral solution"	"Oral"	"02040000/04070402"	"Metoprolol"
"74874"	"Zestoretic 20 tablets (DE Pharmaceuticals)"	"Hydrochlorothiazide/Lisinopril"	"20mg + 12.5mg"	"Tablet"	"Oral"	"02050501"	"Hydrochlorothiazide/Lisinopril"
"74904"	"Losartan 25mg tablets (DE Pharmaceuticals)"	"Losartan"	"25mg"	"Tablet"	"Oral"	"02050502"	"Losartan"
"74915"	"Diltiazem 120mg modified-release capsules (DE Pharmaceuticals)"	"Diltiazem"	"120mg"	"Modified-release capsule"	"Oral"	"02060200"	"Diltiazem"
"74929"	"Nadolol Oral solution"	"Nadolol"	NA	"Oral Solution"	"Oral"	"02040000/04070402"	"Nadolol"
"74930"	"Nadolol 30mg/5ml oral suspension (Drug Tariff Special Order)"	"Nadolol"	"6mg/1ml"	"Oral suspension"	"Oral"	"02040000"	"Nadolol"
"74942"	"Chlortalidone 50mg/5ml oral suspension"	"Chlortalidone"	"10mg/1ml"	"Oral suspension"	"Oral"	"02020100"	"Chlortalidone"
"75010"	"Metoprolol tartrate 50mg Tablet (C P Pharmaceuticals Ltd)"	"Metoprolol"	"50mg"	"Tablet"	"Oral"	"02040000"	"Metoprolol"
"75021"	"Perindopril erbumine 4mg tablets (Ranbaxy (UK) Ltd)"	"Perindopril"	"4mg"	"Tablet"	"Oral"	"02050501"	"Perindopril"
"75024"	"Perindopril erbumine 4mg tablets (Phoenix Healthcare Distribution Ltd)"	"Perindopril"	"4mg"	"Tablet"	"Oral"	"02050501"	"Perindopril"
"75040"	"Riociguat 1mg tablets"	"Riociguat"	"1mg"	"Tablet"	"Oral"	"02050100"	"Riociguat"
"75041"	"Riociguat 1.5mg tablets"	"Riociguat"	"1.5mg"	"Tablet"	"Oral"	"02050100"	"Riociguat"
"75069"	"Co-amilozide 2.5mg/25mg tablets (Mawdsley-Brooks & Company Ltd)"	"Hydrochlorothiazide/Amiloride"	"2.5mg + 25mg"	"Tablet"	"Oral"	"02020400"	"Hydrochlorothiazide/Amiloride"
"75109"	"Nifedipine 10mg Modified-release tablet (Berk Pharmaceuticals Ltd)"	"Nifedipine"	"10mg"	"Modified-release tablet"	"Oral"	"02060200"	"Nifedipine"
"75207"	"Clonidine 50micrograms/5ml oral solution sugar free"	"Clonidine"	"10microgram/1ml"	"Oral solution"	"Oral"	"02050200/04070402/06040101"	"Clonidine"
"75259"	"Hydralazine 1mg/5ml oral suspension"	"Hydralazine"	"200microgram/1ml"	"Oral suspension"	"Oral"	"02050100"	"Hydralazine"
