"source_table"	"medcodeid"	"Observations"	"OriginalReadCode"	"CleansedReadCode"	"term"	"SnomedCTConceptId"	"SnomedCTDescriptionId"	"EmisCodeCategoryId"	"medcode"	"readcode"	"clinicalevents"	"immunisationevents"	"referralevents"	"testevents"	"databaserelease"
"aurum_angina"	"9868481000006117"	"7"	"^ESCTAN986848"	NA	"angina co-occurrent and due to coronary arteriosclerosis"	"15960141000119102"	"3323422017"	"32"	NA	NA	NA	NA	NA	NA	NA
"aurum_angina"	"12125951000006116"	"1"	"^ESCT1212595"	NA	"arteriosclerosis of autologous vein coronary artery bypass graft with angina"	"15960581000119102"	"3645095017"	"32"	NA	NA	NA	NA	NA	NA	NA
"aurum_angina"	"12125971000006114"	"19"	"^ESCT1212597"	NA	"unstable angina co-occurrent and due to arteriosclerosis of coronary artery bypass graft"	"15960661000119108"	"3645129018"	"32"	NA	NA	NA	NA	NA	NA	NA
"aurum_angina"	"12276271000006112"	"48"	"^ESCT1227627"	NA	"progressive angina"	"371806006"	"3673888019"	"32"	NA	NA	NA	NA	NA	NA	NA
"aurum_angina"	"13718071000006112"	"1"	"^ESCT1371807"	NA	"stable angina due to coronary arteriosclerosis"	"16754391000119100"	"3756807015"	"31"	NA	NA	NA	NA	NA	NA	NA
"aurum_angina"	"13718081000006110"	"4"	"^ESCT1371808"	NA	"coronary arteriosclerosis with stable angina"	"16754391000119100"	"3756806012"	"31"	NA	NA	NA	NA	NA	NA	NA
"aurum_angina"	"14011951000006112"	"2"	"^ESCT1401195"	NA	"unstable angina due to arteriosclerosis of autologous vein coronary artery bypass graft"	"15960541000119108"	"3779541018"	"32"	NA	NA	NA	NA	NA	NA	NA
"aurum_angina"	"14179491000006111"	"7"	"^ESCT1417949"	NA	"unstable angina due to arteriosclerosis of coronary artery bypass graft of transplanted heart"	"15960341000119104"	"3991458017"	"32"	NA	NA	NA	NA	NA	NA	NA
"aurum_angina"	"14856811000006118"	"10"	"^ESCT1485681"	NA	"recurrent angina following placement of coronary artery stent"	"371809004"	"5013900016"	"32"	NA	NA	NA	NA	NA	NA	NA
"aurum_coronary_revascularisation"	"271073015"	"1498"	"79200"	"7920000"	"saphenous vein graft replacement of one coronary artery"	"736967001"	"3525967012"	"32"	NA	NA	NA	NA	NA	NA	NA
"aurum_coronary_revascularisation"	"271074014"	"3820"	"79201"	"7920100"	"aortocoronary artery bypass of two coronary arteries with saphenous vein graft"	"736969003"	"3525975018"	"32"	NA	NA	NA	NA	NA	NA	NA
"aurum_coronary_revascularisation"	"271075010"	"10021"	"79202"	"7920200"	"aortocoronary artery bypass of three coronary arteries with saphenous vein graft"	"736968006"	"3525971010"	"32"	NA	NA	NA	NA	NA	NA	NA
"aurum_coronary_revascularisation"	"271079016"	"1138"	"7920z"	"7920z00"	"saphenous vein graft replacement coronary artery nos"	"3546002"	"6979016"	"32"	NA	NA	NA	NA	NA	NA	NA
"aurum_coronary_revascularisation"	"271080018"	"1949"	"7921"	"7921.00"	"other autograft replacement of coronary artery"	"232717009"	"348640013"	"32"	NA	NA	NA	NA	NA	NA	NA
"aurum_coronary_revascularisation"	"271081019"	"226"	"79210"	"7921000"	"autograft replacement of one coronary artery nec"	"232719007"	"348647011"	"32"	NA	NA	NA	NA	NA	NA	NA
"aurum_coronary_revascularisation"	"271082014"	"334"	"79211"	"7921100"	"autograft replacement of two coronary arteries nec"	"232720001"	"348649014"	"32"	NA	NA	NA	NA	NA	NA	NA
