"prodcode"	"productname"	"ingredient"	"strength"	"formulation"	"route"	"bnfcode"	"antiplatelet"
"60605"	"Dipyridamole 25mg tablets (A A H Pharmaceuticals Ltd)"	"Dipyridamole"	"25mg"	"Tablet"	"Oral"	"02090000"	"Dipyridamole"
"60693"	"Aspirin 15mg/5ml oral solution"	"Aspirin"	"3mg/1ml"	"Oral solution"	"Oral"	"02090000/04070100/04070401/10010100"	"Aspirin"
"60694"	"Aspirin 25mg/5ml oral solution"	"Aspirin"	"5mg/1ml"	"Oral solution"	"Oral"	"02090000/04070100/04070401/10010100"	"Aspirin"
"60777"	"Aspirin 75mg gastro-resistant tablets (DE Pharmaceuticals)"	"Aspirin"	"75mg"	"Gastro-resistant tablet"	"Oral"	"02090000"	"Aspirin"
"62334"	"Aspirin 300mg caplets (Wockhardt UK Ltd)"	"Aspirin"	"300mg"	"Tablet"	"Oral"	"02090000/04070100"	"Aspirin"
"62430"	"Aspirin 300mg suppositories (A A H Pharmaceuticals Ltd)"	"Aspirin"	"300mg"	"Suppository"	"Rectal"	"02090000/04070100"	"Aspirin"
"62707"	"Dipyridamole 25mg tablets (Alliance Healthcare (Distribution) Ltd)"	"Dipyridamole"	"25mg"	"Tablet"	"Oral"	"02090000"	"Dipyridamole"
"62855"	"Clopidogrel 75mg tablets (Alliance Healthcare (Distribution) Ltd)"	"Clopidogrel"	"75mg"	"Tablet"	"Oral"	"02090000"	"Clopidogrel"
"62978"	"Clopidogrel 75mg tablets (Sandoz Ltd)"	"Clopidogrel"	"75mg"	"Tablet"	"Oral"	"02090000"	"Clopidogrel"
"63450"	"Clopidogrel 75mg tablets (Almus Pharmaceuticals Ltd)"	"Clopidogrel"	"75mg"	"Tablet"	"Oral"	"02090000"	"Clopidogrel"
"63603"	"Laboprin Tablet (Laboratories For Applied Biology Ltd)"	"Aspirin"	"300mg"	"Tablet"	"Oral"	"02090000/04070100"	"Aspirin"
"63658"	"Co-codaprin 400/8 Tablet (Hillcross Pharmaceuticals Ltd)"	"Aspirin"	"400/8"	"Tablet"	"Oral"	"04070100/04070200"	"Aspirin"
"63683"	"Aspirin with codeine Dispersible tablet (Actavis UK Ltd)"	"Aspirin"	"8mg + 400mg"	"Dispersible tablet"	"Oral"	"04070100/04070200"	"Aspirin"
"64071"	"Aspirin powder (J M Loveridge Ltd)"	"Aspirin"	"1mg/1mg"	"Not applicable"	"Route of administration not applicable"	"02090000/04070100/50030000"	"Aspirin"
"64222"	"Dipyridamole 50mg/5ml oral solution"	"Dipyridamole"	"10mg/1ml"	"Oral solution"	"Oral"	"02090000"	"Dipyridamole"
"64837"	"Ofcram PR 200mg capsules (Focus Pharmaceuticals Ltd)"	"Dipyridamole"	"200mg"	"Modified-release capsule"	"Oral"	"02090000"	"Dipyridamole"
"64929"	"Dipyridamole 200mg/5ml oral suspension"	"Dipyridamole"	"40mg/1ml"	"Oral suspension"	"Oral"	"02090000"	"Dipyridamole"
"65027"	"Bisoprolol 5mg / Aspirin 100mg capsules"	"Aspirin"	"100mg + 5mg"	"Capsule"	"Oral"	"02040000/02090000"	"Aspirin"
"65909"	"Clopidogrel 75mg tablets (Milpharm Ltd)"	"Clopidogrel"	"75mg"	"Tablet"	"Oral"	"02090000"	"Clopidogrel"
"66171"	"Aspirin 150mg Suppository (Distriphar (UK))"	"Aspirin"	"150mg"	"Suppository"	"Rectal"	"04070100"	"Aspirin"
"66345"	"Aspirin 75mg dispersible tablets (DE Pharmaceuticals)"	"Aspirin"	"75mg"	"Dispersible tablet"	"Oral"	"02090000"	"Aspirin"
"66546"	"Aspirin 75mg dispersible tablets (Numark Ltd)"	"Aspirin"	"75mg"	"Dispersible tablet"	"Oral"	"02090000"	"Aspirin"
"66563"	"Aspirin 75mg gastro-resistant tablets (Phoenix Healthcare Distribution Ltd)"	"Aspirin"	"75mg"	"Gastro-resistant tablet"	"Oral"	"02090000"	"Aspirin"
"66784"	"Attia 200mg modified-release capsules (Dr Reddy's Laboratories (UK) Ltd)"	"Dipyridamole"	"200mg"	"Modified-release capsule"	"Oral"	"02090000"	"Dipyridamole"
"66840"	"Dipyridamole 200mg/5ml oral suspension sugar free"	"Dipyridamole"	"40mg/1ml"	"Oral suspension"	"Oral"	"02090000"	"Dipyridamole"
"66861"	"Aspirin 75mg effervescent tablets"	"Aspirin"	"75mg"	"Effervescent tablet"	"Oral"	"02090000"	"Aspirin"
"66973"	"Ticagrelor 60mg tablets"	"Ticagrelor"	"60mg"	"Tablet"	"Oral"	"02090000"	"Ticagrelor"
"67037"	"Clopidogrel 75mg tablets (Zentiva)"	"Clopidogrel"	"75mg"	"Tablet"	"Oral"	"02090000"	"Clopidogrel"
"67124"	"Bisoprolol 10mg / Aspirin 75mg capsules"	"Aspirin"	"10mg + 75mg"	"Capsule"	"Oral"	"02040000/02090000"	"Aspirin"
"67160"	"Aspirin 300mg dispersible tablets (Lloyds Pharmacy Ltd)"	"Aspirin"	"300mg"	"Dispersible tablet"	"Oral"	"02090000/04070100"	"Aspirin"
"67362"	"Aspirin 300mg suppositories (Alliance Healthcare (Distribution) Ltd)"	"Aspirin"	"300mg"	"Suppository"	"Rectal"	"02090000/04070100"	"Aspirin"
"67403"	"Dipyridamole 100mg tablets (Dr Reddy's Laboratories (UK) Ltd)"	"Dipyridamole"	"100mg"	"Tablet"	"Oral"	"02090000"	"Dipyridamole"
"67521"	"Aspirin 15mg/5ml oral suspension"	"Aspirin"	"3mg/1ml"	"Oral suspension"	"Oral"	"02090000/04070100/04070401/10010100"	"Aspirin"
"67567"	"Dipyridamole 100mg/5ml oral solution"	"Dipyridamole"	"20mg/1ml"	"Oral solution"	"Oral"	"02090000"	"Dipyridamole"
"67754"	"Aspirin 300mg dispersible tablets (Almus Pharmaceuticals Ltd)"	"Aspirin"	"300mg"	"Dispersible tablet"	"Oral"	"02090000/04070100"	"Aspirin"
"67858"	"Aspirin 25mg capsules"	"Aspirin"	"25mg"	"Capsule"	"Oral"	"02090000/04070100"	"Aspirin"
"68051"	"Aspirin 150mg suppositories (Colorama Pharmaceuticals Ltd)"	"Aspirin"	"150mg"	"Suppository"	"Rectal"	"02090000/04070100"	"Aspirin"
"68710"	"Brilique 60mg tablets (AstraZeneca UK Ltd)"	"Ticagrelor"	"60mg"	"Tablet"	"Oral"	"02090000"	"Ticagrelor"
"68752"	"Aspirin 75mg tablets (Sigma Pharmaceuticals Plc)"	"Aspirin"	"75mg"	"Tablet"	"Oral"	"02090000"	"Aspirin"
"68764"	"Molita 200mg/25mg modified-release capsules (Dr Reddy's Laboratories (UK) Ltd)"	"Aspirin/Dipyridamole"	"200mg + 25mg"	"Modified-release capsule"	"Oral"	"02090000"	"Aspirin/Dipyridamole"
"69216"	"Dipyridamole 200mg modified-release / Aspirin 25mg capsules (A A H Pharmaceuticals Ltd)"	"Aspirin/Dipyridamole"	"200mg + 25mg"	"Modified-release capsule"	"Oral"	"02090000"	"Aspirin/Dipyridamole"
"70549"	"Danamep 75mg dispersible tablets (Ecogen Europe Ltd)"	"Aspirin"	"75mg"	"Dispersible tablet"	"Oral"	"02090000"	"Aspirin"
"70606"	"Ticagrelor 90mg orodispersible tablets sugar free"	"Ticagrelor"	"90mg"	"Orodispersible tablet"	"Oral"	"02090000"	"Ticagrelor"
"70841"	"Aspirin 300mg Dispersible tablet (Family Health)"	"Aspirin"	"300mg"	"Dispersible tablet"	"Oral"	"02090000/04070100"	"Aspirin"
"71078"	"Aspirin 300mg dispersible tablets (Mawdsley-Brooks & Company Ltd)"	"Aspirin"	"300mg"	"Dispersible tablet"	"Oral"	"02090000/04070100"	"Aspirin"
"71192"	"Aspirin 75mg tablets (Kent Pharmaceuticals Ltd)"	"Aspirin"	"75mg"	"Tablet"	"Oral"	"02090000"	"Aspirin"
"71663"	"Aspirin 75mg tablets (Actavis UK Ltd)"	"Aspirin"	"75mg"	"Tablet"	"Oral"	"02090000"	"Aspirin"
"71676"	"Aspirin 75mg dispersible tablets (Mawdsley-Brooks & Company Ltd)"	"Aspirin"	"75mg"	"Dispersible tablet"	"Oral"	"02090000"	"Aspirin"
"71821"	"Aspirin 300mg Tablet (Numark Management Ltd)"	"Aspirin"	"300mg"	"Tablet"	"Oral"	"02090000/04070100"	"Aspirin"
"72650"	"Dipyridamole oral liquid"	"Dipyridamole"	NA	"Oral solution"	"Oral"	"02090000"	"Dipyridamole"
"73435"	"Dipyridamole 100mg tablets (DE Pharmaceuticals)"	"Dipyridamole"	"100mg"	"Tablet"	"Oral"	"02090000"	"Dipyridamole"
"73466"	"Dipyridamole 100mg Tablet (Approved Prescription Services Ltd)"	"Dipyridamole"	"100mg"	"Tablet"	"Oral"	"02090000"	"Dipyridamole"
"73478"	"Lloydspharmacy Extra Power Pain Reliever tablets (Lloyds Pharmacy Ltd)"	"Aspirin"	"200mg + 45mg + 300mg"	"Tablet"	"Oral"	"04070500"	"Aspirin"
"73634"	"Co-codaprin 8mg/400mg tablets (The Boots Company Plc)"	"Aspirin"	"400mg + 8mg"	"Tablet"	"Oral"	"04070100"	"Aspirin"
"73994"	"Aspirin 75mg gastro-resistant tablets (Greenfield Pharmaceuticals Ltd)"	"Aspirin"	"75mg"	"Gastro-resistant tablet"	"Oral"	"02090000"	"Aspirin"
"74096"	"Aspirin 50mg/5ml oral suspension"	"Aspirin"	"10mg/1ml"	"Oral suspension"	"Oral"	"02090000/04070100/04070401/10010100"	"Aspirin"
"74210"	"Dristan Tablet (Wyeth Consumer Healthcare)"	"Aspirin"	NA	"Tablet"	"Oral"	"03100000/04070100"	"Aspirin"
"74302"	"Aspirin 75mg/5ml oral suspension"	"Aspirin"	"15mg/1ml"	"Oral suspension"	"Oral"	"02090000"	"Aspirin"
"74387"	"Generic Radian B Muscle lotion"	"Aspirin"	"6mg/1ml + 12mg/1ml + 6mg/1ml + 14mg/1ml"	"Liquid"	"Cutaneous"	"10030251"	"Aspirin"
"74786"	"Aspirin 75mg gastro-resistant tablets (Alliance Healthcare (Distribution) Ltd)"	"Aspirin"	"75mg"	"Gastro-resistant tablet"	"Oral"	"02090000"	"Aspirin"
"75011"	"Dipyridamole 100mg Tablet (C P Pharmaceuticals Ltd)"	"Dipyridamole"	"100mg"	"Tablet"	"Oral"	"02090000"	"Dipyridamole"
"75212"	"Dipyridamole 100mg Tablet (Berk Pharmaceuticals Ltd)"	"Dipyridamole"	"100mg"	"Tablet"	"Oral"	"02090000"	"Dipyridamole"
"75489"	"Aspirin 300mg gastro-resistant tablets (Advanz Pharma)"	"Aspirin"	"300mg"	"Gastro-resistant tablet"	"Oral"	"02090000/04070100"	"Aspirin"
"75591"	"Aspirin 300mg Tablet (Galpharm International Ltd)"	"Aspirin"	"300mg"	"Tablet"	"Oral"	"02090000/04070100"	"Aspirin"
